供应商名称,商品名称,生产厂家,销售价,有效期,规格,销量
帝豪旗舰店,午时 抗病毒口服液,湖北午时药业股份有限公司,8.20,2020-12-31,10ml*10支,20277
帝豪旗舰店,西乐葆 塞来昔布胶囊,辉瑞制药有限公司,37.60,2021-04-30,0.2g*6粒,20934
帝豪旗舰店,京丰制药 盐酸二甲双胍片,北京京丰制药集团有限公司,2.50,2022-07-30,48片,110774
帝豪旗舰店,彼司克 奥美拉唑肠溶胶囊,广东彼迪药业有限公司,16.41,2020-10-08,20mg*14s,17960
帝豪旗舰店,浙江鼎泰 麝香壮骨膏,浙江鼎泰药业股份有限公司,4.20,2020-12-31,8贴,69312
帝豪旗舰店,惠州中药 复方穿心莲片,广东省惠州市中药厂有限公司,2.81,2020-12-31,100片,29869
帝豪旗舰店,奥吉娜 阿司匹林肠溶片,沈阳奥吉娜药业有限公司,4.98,2021-04-30,100mg*24片,0
帝豪旗舰店,白云山 701 跌打镇痛膏,广州白云山制药股份有限公司白云山何济公制药厂,13.50,2020-06-30,10cm*7cm*8贴,7438
帝豪旗舰店,三金 西瓜霜清咽含片,桂林三金药业股份有限公司,5.80,2021-01-28,1.8g*16片,19800
帝豪旗舰店,君泰 双黄连口服液,东莞市亚洲制药有限公司,14.16,2021-02-28,10ml*10支,2314
帝豪旗舰店,妈富隆 去氧孕烯炔雌醇片,N.V. Organon,47.00,2020-03-30,30ug*21片,21588
帝豪旗舰店,逸舒 盐酸雷尼替丁胶囊,广东逸舒制药股份有限公司,6.30,2020-07-29,20粒,40881
帝豪旗舰店,汇科 复方酮康唑发用洗剂,广西厚德大健康产业股份有限公司,1.95,2020-09-30,6ml,80739
帝豪旗舰店,贵州百灵 维C银翘片,贵州百灵企业集团制药股份有限公司,2.60,2020-08-12,24片,44749
帝豪旗舰店,玄宁 马来酸左旋氨氯地平片,石药集团欧意药业有限公司,26.20,2023-11-06,2.5mg*14片,14529
帝豪旗舰店,息斯敏 氯雷他定片,西安杨森制药有限公司,18.50,2022-03-31,10mg*6片,0
帝豪旗舰店,诺金 咳特灵胶囊,广州诺金制药有限公司,5.20,2020-12-31,24粒,8294
帝豪旗舰店,升和 肤痒颗粒,四川升和药业股份有限公司,8.00,2020-11-30,9g*10袋,20714
帝豪旗舰店,达力芬 头孢克肟颗粒,国药集团致君(深圳)制药有限公司,9.00,2021-04-30,50mg*6袋,23087
帝豪旗舰店,星湖 复方黄芩片,肇庆星湖制药有限公司,9.10,2020-12-17,60片,22473
帝豪旗舰店,逸舒长 氯雷他定片,广东逸舒制药股份有限公司,2.43,2021-10-03,10mg*6片,42041
帝豪旗舰店,999 皮炎平 复方醋酸地塞米松乳膏,华润三九医药股份有限公司,11.62,2021-11-30,30g,9477
帝豪旗舰店,孔孟 栀子金花丸,山东孔圣堂制药有限公司,7.80,2022-01-08,9g*10袋,30981
帝豪旗舰店,敬修堂 天黄猴枣散,广州白云山敬修堂药业股份有限公司,28.73,2020-11-30,0.15g,3069
帝豪旗舰店,吉林红石 伤痛安 三七伤药片,吉林省红石药业有限公司,3.36,2021-11-30,36片,65174
帝豪旗舰店,思密达 蒙脱石散,博福-益普生(天津)制药有限公司,19.28,2022-09-30,3g*10袋(草莓味),7225
帝豪旗舰店,四方箅 复方桔梗止咳片,河南省新四方制药有限公司,5.39,2021-09-30,0.25g*100片,17032
帝豪旗舰店,同仁堂 牛黄解毒丸,北京同仁堂科技发展股份有限公司制药厂,10.50,2023-04-30,3g*10丸,13991
帝豪旗舰店,牡丹江灵泰 天麻头痛片,牡丹江灵泰药业股份有限公司,4.00,2021-12-31,24片,24218
帝豪旗舰店,黄氏 黄氏响声丸,无锡济民可信山禾药业股份有限公司,16.28,2021-11-30,0.133g*36丸*2板,28793
帝豪旗舰店,一力 氨咖黄敏胶囊,广东一力集团制药股份有限公司,2.20,2020-05-31,12粒,42712
帝豪旗舰店,四川子仁 爱生 小柴胡颗粒,四川子仁制药有限公司,5.00,2021-02-28,10g*10袋,43154
帝豪旗舰店,天福康 藿香正气丸,马鞍山天福康药业有限公司,5.50,2021-10-22,200丸,17680
帝豪旗舰店,开瑞坦 氯雷他定片,拜耳医药(上海)有限公司,23.90,2022-05-18,10mg*6s,38066
帝豪旗舰店,恒健 开塞露,广东恒健制药有限公司,0.42,2021-01-29,10ml,57514
帝豪旗舰店,同仁堂 金匮肾气丸,北京同仁堂科技发展股份有限公司制药厂,12.50,2021-08-31,360粒,16491
帝豪旗舰店,恒健 维生素C片,广东恒健制药有限公司,2.70,2020-06-13,100片,13376
帝豪旗舰店,敬修堂 化痔栓,广州白云山敬修堂药业股份有限公司,18.99,2020-11-30,1.4*10粒,2969
帝豪旗舰店,特安呐 血塞通片,云南特安呐制药股份有限公司,5.86,2021-02-28,25mg*20片,72040
帝豪旗舰店,众生 复方血栓通胶囊,广东众生药业股份有限公司,40.50,2020-11-13,0.5g*60粒,20877
帝豪旗舰店,天龙 口腔炎喷雾剂,黑龙江天龙药业有限公司,8.50,2021-10-31,15ml,37134
帝豪旗舰店,倍他乐克 酒石酸美托洛尔片,阿斯利康制药有限公司,11.98,2021-03-31,50mg*20片,18018
帝豪旗舰店,斯利安 叶酸片,北京斯利安药业有限公司,22.50,2021-10-31,0.4mg*31片,24902
帝豪旗舰店,双飞人 爽水,双飞人制药股份有限公司,25.50,2023-12-31,50ml,8481
帝豪旗舰店,远大 安乃近片,远大医药(中国)有限公司,4.77,2021-11-30,0.5g*100片,15257
帝豪旗舰店,立卫克 奥美拉唑肠溶胶囊,悦康药业集团有限公司,1.95,2020-02-29,20mg*14粒,376127
帝豪旗舰店,肤轻松 醋酸氟轻松乳膏,天津太平洋制药有限公司,2.20,2021-01-31,10g:2.5mg,15359
帝豪旗舰店,补达秀 氯化钾缓释片,广州誉东健康制药有限公司,6.10,2020-08-31,0.5g*24片,25510
帝豪旗舰店,三精 多潘立酮片,黑龙江诺捷制药有限责任公司,5.80,2021-11-30,10mg*30片,63618
帝豪旗舰店,山西太原 氨茶碱片,山西太原药业有限公司,4.80,2020-11-09,0.1g*100片,8252
